unique_samplingProtocol_value,n_count
,136888180
SBTL_SWATH_PISCO,16291206
SBTL_FISH_PISCO,8681789
Reef Fish Visual Census doi:10.1016/j.fishres.2011.01.012,7992276
acoustic detection,7286178
gps,7154610
Should point to voyage CTD bottle cast methods.,5773593
SBTL_SWATH_VRG,4418301
CPR Tow,3889405
eDNA expeditions citizen science sampling,2644041
Bag Seine,2256999
SBTL_FISH_VRG,1548416
Gill Net,1173016
Sampling device : Niskin bottle  -  Size filter : generally before 2007 1.2 micrometers and after 2007 0.7 micrometers,924064
Haps,734428
band transect,724871
nSPC,698970
GOV Trawl,602963
Species subsampled and individual lengths recorded.,601868
Eight m Beam trawl,517480
acoustic telemetry,505174
SBTL_SWATH_HSU,504891
helicopter,472966
midwater trawl; http://calcofi.org/publications/calcofireports/v57/Vol57-Sakuma_pages.163-183.pdf,471986
CalCOFI ichthyoplankton net tow,463655
SBTL_FISH_HSU,429998
Campelen,417506
GearType= Bottom trawl,405326
Sampling device : Plastic bucket  -  Size filter : generally before 2007 1.2 micrometers and after 2007 0.7 micrometers,401584
position from GPS data logger deployed on bird,388590
"Water filtrated from the hose/bottle. DNA extraction, sequencing, and data processing were describe in https://doi.org/10.1038/s41597-023-02825-5, and the deviations to the original protocol in https://doi.org/10.1101/2024.08.14.607742",368864
"Four m Beam trawl, aft - in IrishSea q3 BTS",363788
Sampling device : Hydrobios bottle  -  Size filter : generally before 2007 1.2 micrometers and after 2007 0.7 micrometers,358026
"Four m Beam trawl, aft",330838
boat - diver,328653
original transect,309879
CTD rosette,307862
Trawl,307651
Agassiz trawl,280721
1,256954
Belt Transect (BLT) surveys; https://inport.nmfs.noaa.gov/inport/item/5565.,245157
Vigneron-Dahl North Sea type trawl,242777
Casual sighting,233437
Tow with mobile fishing gear,231457
The start location of the next video interval in sequence is the end location of this 30-second video interval,225951
NA,214877
Standardized surveys,210074
TOWED01,206500
Analyzed images are targeted to be taken ~30 seconds apart.,204344
Niskin 5L,200705
Niskin,197547
photo_plot_surveys,196750
"Young-modified Van Veen grab sampler, 0.04 sq m",196020
"CREMP sites consist of two to four monitoring stations delimited by permanent markers. Stations are approximately 2m x 22m and are generally perpendicular to the shoreline. Three video transects (benthic survey), a station species inventory (SSI), and a clioniad sponge survey are conducted annually at each station.",193481
Coral_demographics,191348
Percent seagrass cover measured by 50 cm by 50 cm quadrat,190266
